pharmacist_id,pharmacist_name,branch_id,phone_number,password,role
P001,Phan Anh Giang,B003,0906812119,password123,STAFF
P002,Vũ Văn Cường,B008,0941280000,password123,STAFF
P003,Cao Quang Dũng,B009,0911895772,password123,STAFF
P004,Bùi Anh Thu,B008,0957666501,password123,STAFF
P005,Hồ Quang Thảo,B017,0395577278,password123,STAFF
P006,Hà Hoàng Linh,B001,0933426243,password123,STAFF
P007,Cao Văn Cao,B001,0921578764,password123,STAFF
P008,Phạm Anh Linh,B010,0924047173,password123,STAFF
P009,Ngô Minh Giang,B005,0320210035,password123,STAFF
P010,Phạm Hữu Dũng,B010,0904133829,password123,STAFF
P011,Vũ Hoàng Bình,B008,0930172234,password123,STAFF
P012,Vũ Anh Bình,B014,0953423884,password123,STAFF
P013,Hà Minh Phúc,B009,0311169987,password123,STAFF
P014,Nguyễn Minh Nam,B009,0967302766,password123,STAFF
P015,Phan Hoàng Dũng,B002,0934913719,password123,STAFF
P016,Trịnh Văn Hùng,B013,0375794606,password123,STAFF
P017,Võ Văn Bình,B012,0372366100,password123,STAFF
P018,Vũ Văn Thảo,B010,0354450930,password123,STAFF
P019,Trần Anh Hùng,B007,0914703598,password123,STAFF
P020,Ngô Minh Cường,B007,0348413804,password123,STAFF
P021,Vũ Thị Cao,B002,0313827111,password123,STAFF
P022,Nguyễn Anh Trang,B020,0304546958,password123,STAFF
P023,Nguyễn Hoàng Giang,B012,0921621177,password123,STAFF
P024,Phan Văn Mai,B016,0392212026,password123,STAFF
P025,Vũ Minh Phúc,B009,0347010802,password123,STAFF
P026,Trần Thị An,B011,0985144298,password123,STAFF
P027,Võ Minh Bình,B020,0326188262,password123,STAFF
P028,Đỗ Hữu Hương,B002,0932882013,password123,STAFF
P029,Đặng Minh Hương,B005,0979616574,password123,STAFF
P030,Trần Văn Lan,B004,0360963823,password123,STAFF
P031,Chu Thị Phúc,B020,0330669040,password123,STAFF
P032,Bùi Quang Trang,B006,0918435023,password123,STAFF
P033,Chu Hoàng Nam,B004,0316622104,password123,STAFF
P034,Nguyễn Minh Cao,B013,0917386027,password123,STAFF
P035,Đặng Minh Giang,B009,0928070637,password123,STAFF
P036,Vũ Hữu Hùng,B006,0913851505,password123,STAFF
P037,Vũ Hoàng Trang,B003,0353903831,password123,STAFF
P038,Lê Thị Trang,B008,0371776185,password123,STAFF
P039,Hồ Hữu Nam,B004,0315471013,password123,STAFF
P040,Trịnh Minh Bình,B009,0967691078,password123,STAFF
P041,Phạm Văn Cường,B012,0375903973,password123,STAFF
P042,Đặng Minh Thảo,B001,0329834548,password123,STAFF
P043,Phan Quang Lan,B005,0374106452,password123,STAFF
P044,Hồ Anh Thu,B013,0307696180,password123,STAFF
P045,Đoàn Quang An,B003,0367121533,password123,STAFF
P046,Đỗ Hữu Bình,B001,0385057402,password123,STAFF
P047,Hồ Anh Hương,B008,0901449318,password123,STAFF
P048,Dương Anh Hương,B005,0934137536,password123,STAFF
P049,Ngô Anh Cao,B020,0953442925,password123,STAFF
P050,Trịnh Anh Cường,B013,0996223084,password123,STAFF
P051,Bùi Hoàng Thảo,B009,0320072505,password123,STAFF
P052,Vũ Anh Giang,B019,0923453142,password123,STAFF
P053,Chu Văn Phúc,B006,0307900628,password123,STAFF
P054,Hà Thị Dũng,B014,0369850284,password123,STAFF
P055,Chu Minh Hùng,B012,0952706271,password123,STAFF
P056,Cao Thị Hà,B014,0343183231,password123,STAFF
P057,Đỗ Minh Trang,B013,0306550501,password123,STAFF
P058,Hồ Thị Thảo,B008,0306795103,password123,STAFF
P059,Đỗ Văn Mai,B011,0310071769,password123,STAFF
P060,Chu Quang Bình,B011,0910003625,password123,STAFF
P061,Lê Văn Hà,B014,0371492515,password123,STAFF
P062,Phạm Văn Nam,B004,0329220585,password123,STAFF
P063,Vũ Văn Dũng,B014,0327658205,password123,STAFF
P064,Dương Minh Thảo,B007,0969564131,password123,STAFF
P065,Phạm Anh Linh,B002,0966651556,password123,STAFF
